riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7536458-G	1E-10	-	0.25	-	"0.064 unit decrease"	[0.044-0.084]	PSMC1P12,RNA5SP56	"Infant length"	"infant body height"	-	GCST002646	1:118321979	25281659	"van der Valk RJ"
rs11205303-C	2E-16	-	0.34	-	"0.087 unit increase"	[0.065-0.109]	MTMR11	"Infant length"	"infant body height"	-	GCST002646	1:149934520	25281659	"van der Valk RJ"
rs1380294-T	3E-14	-	0.15	-	"0.108 unit decrease"	[0.081-0.135]	LINC02438,LCORL	"Infant length"	"infant body height"	-	GCST002646	4:18022498	25281659	"van der Valk RJ"
rs1812175-A	2E-9	-	0.18	-	"0.068 unit decrease"	[0.046-0.090]	HHIP,HHIP-AS1	"Infant length"	"infant body height"	-	GCST002646	4:144653692	25281659	"van der Valk RJ"
rs592229-G	2E-8	-	0.43	-	"0.048 unit increase"	[0.030-0.066]	SKIC2	"Infant length"	"infant body height"	-	GCST002646	6:31962664	25281659	"van der Valk RJ"
rs9385399-T	2E-10	-	0.46	-	"0.055 unit increase"	[0.037-0.073]	MIR588,CENPW	"Infant length"	"infant body height"	-	GCST002646	6:126437887	25281659	"van der Valk RJ"
rs1984119-C	2E-10	-	0.26	-	"0.063 unit decrease"	[0.043-0.083]	PTCH1,ERCC6L2-AS1	"Infant length"	"infant body height"	-	GCST002646	9:95606479	25281659	"van der Valk RJ"
rs7970350-T	3E-8	-	0.49	-	"0.047 unit decrease"	[0.029-0.065]	HMGA2,MIR6074	"Infant length"	"infant body height"	-	GCST002646	12:65966384	25281659	"van der Valk RJ"
rs2280470-A	6E-9	-	0.36	-	"0.053 unit increase"	[0.035-0.071]	ACAN	"Infant length"	"infant body height"	-	GCST002646	15:88852395	25281659	"van der Valk RJ"
rs143384-G	3E-10	-	0.44	-	"0.058 unit increase"	[0.040-0.076]	GDF5	"Infant length"	"infant body height"	-	GCST002646	20:35437976	25281659	"van der Valk RJ"
rs1567865-T	1E-9	-	0.21	-	"0.063 unit increase"	[0.043-0.083]	ZNFX1	"Infant length"	"infant body height"	-	GCST002646	20:49265430	25281659	"van der Valk RJ"
rs12534093-A	8E-8	-	0.221	-	"0.064 unit decrease"	[0.040-0.088]	IGF2BP3	"Infant length"	"infant body height"	-	GCST002646	7:23463355	25281659	"van der Valk RJ"
rs724016-A	4E-7	-	0.453	-	"0.044 unit decrease"	[0.026-0.062]	ZBTB38	"Infant length"	"infant body height"	-	GCST002646	3:141386728	25281659	"van der Valk RJ"
rs6470764-T	1E-6	-	0.203	-	"0.054 unit decrease"	[0.032-0.076]	MTRF1LP2,CCDC26	"Infant length"	"infant body height"	-	GCST002646	8:129713419	25281659	"van der Valk RJ"
rs6473015-A	4E-6	-	0.263	-	"0.045 unit decrease"	[0.025-0.065]	PKIA-AS1,HIGD1AP18	"Infant length"	"infant body height"	-	GCST002646	8:77266249	25281659	"van der Valk RJ"
rs7756992-A	1E-19	-	0.721	-	"0.058739975 unit increase"	[0.046-0.071]	CDKAL1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	6:20679478	31681408	"Yang XL"
rs1759645-T	7E-10	-	0.836	-	"0.048504315 unit decrease"	[0.033-0.064]	CYCSP55,HMGA1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	6:34227089	31681408	"Yang XL"
rs851977-T	2E-13	-	0.789	-	"0.055212032 unit increase"	[0.041-0.07]	ESR1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	6:151708473	31681408	"Yang XL"
rs12534093-A	1E-9	-	0.219	-	"0.04476021 unit decrease"	[0.03-0.059]	IGF2BP3	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	7:23463355	31681408	"Yang XL"
rs9409710-A	2E-8	-	0.659	-	"0.03473215 unit increase"	[0.023-0.047]	LINC02603	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	9:94246742	31681408	"Yang XL"
rs16909902-A	2E-14	-	0.892	-	"0.07598581 unit decrease"	[0.056-0.095]	PTCH1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	9:95473920	31681408	"Yang XL"
rs2418135-A	4E-9	-	0.531	-	"0.03591192 unit increase"	[0.024-0.048]	RNY4P18,MIR7702	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	9:111139029	31681408	"Yang XL"
rs7048271-A	4E-12	-	0.15	-	"0.059419204 unit increase"	[0.043-0.076]	STRBP	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	9:123156493	31681408	"Yang XL"
rs10762269-A	4E-8	-	0.496	-	"0.031927217 unit decrease"	[0.021-0.043]	HKDC1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	10:69238245	31681408	"Yang XL"
rs7923837-A	5E-9	-	0.367	-	"0.03527378 unit increase"	[0.023-0.047]	Y_RNA,EXOC6	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	10:92722160	31681408	"Yang XL"
rs740746-A	1E-16	-	0.668	-	"0.051283136 unit increase"	[0.039-0.063]	NHLRC2,ADRB1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	10:114033028	31681408	"Yang XL"
rs11055034-A	5E-9	-	0.299	-	"0.03822831 unit decrease"	[0.025-0.051]	APOLD1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	12:12737692	31681408	"Yang XL"
rs1042725-T	2E-29	-	0.504	-	"0.06538093 unit decrease"	[0.054-0.077]	HMGA2	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	12:65964567	31681408	"Yang XL"
rs1330887-A	1E-8	-	0.123	-	"0.0531191 unit decrease"	[0.035-0.071]	OBI1-AS1,LINC00446	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	13:78035669	31681408	"Yang XL"
rs222852-A	9E-9	-	0.535	-	"0.035507735 unit increase"	[0.023-0.048]	PHF23	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	17:7237287	31681408	"Yang XL"
rs6057610-T	2E-8	-	0.491	-	"0.034524694 unit increase"	[0.023-0.047]	C20orf203	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	20:32653587	31681408	"Yang XL"
rs10483213-A	3E-10	-	0.085	-	"0.06603509 unit decrease"	[0.046-0.087]	CENPM	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	22:41943521	31681408	"Yang XL"
rs4659415-T	4E-8	-	0.239	-	"0.039299153 unit increase"	[0.025-0.053]	CEP85	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	1:26254299	31681408	"Yang XL"
rs905938-T	6E-13	-	0.708	-	"0.04604663 unit decrease"	[0.034-0.059]	DCST2	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	1:155018913	31681408	"Yang XL"
rs718139-A	2E-9	-	0.208	-	"0.044864137 unit decrease"	[0.03-0.06]	ATAD2B	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	2:23753041	31681408	"Yang XL"
rs17034876-T	1E-22	-	0.65	-	"0.06357624 unit increase"	[0.051-0.076]	RPL36AP14	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	2:46257171	31681408	"Yang XL"
rs11708067-A	9E-20	-	0.774	-	"0.063346945 unit decrease"	[0.05-0.077]	ADCY5	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	3:123346931	31681408	"Yang XL"
