riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs4142322-?	5E-6	-	NR	-	-	-	SLC10A2,METTL21EP	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	13:102964708	30120429	"Schlauch KA"
rs17573102-?	9E-6	-	NR	8.061831	-	-	ZCCHC10P2,UBL5P1	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	5:29635057	30120429	"Schlauch KA"
rs9028-?	3E-7	-	NR	5.048128	-	-	RTP4	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	3:187371509	30120429	"Schlauch KA"
rs7149926-?	1E-6	-	NR	4.771962	-	-	MAGOH3P,BLZF2P	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	14:68864011	30120429	"Schlauch KA"
rs11753543-?	9E-6	-	NR	3.3840287	-	-	SOCS5P5,LINC02518	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	6:113317153	30120429	"Schlauch KA"
rs9736016-?	3E-7	-	NR	2.4456832	-	-	CXCR5,Y_RNA	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	11:118854185	30120429	"Schlauch KA"
rs7635777-?	6E-6	-	NR	1.2768127	-	-	HMGN2P13,P2RY1	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	3:152993471	30120429	"Schlauch KA"
rs9384860-?	9E-6	-	NR	1.6424927	-	-	SOCS5P5,LINC02518	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	6:113323366	30120429	"Schlauch KA"
rs2470315-?	2E-6	-	NR	3.2383354	-	-	CCDC179,LINC02718	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	11:22958929	30120429	"Schlauch KA"
rs6093921-?	5E-6	-	NR	3.296943	-	-	TOX2	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	20:44042793	30120429	"Schlauch KA"
rs2283208-?	2E-6	-	NR	4.0412416	-	-	KCNQ1	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	11:2722629	30120429	"Schlauch KA"
rs6928576-?	1E-6	-	NR	4.5587687	-	-	QKI,RN7SL366P	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	6:163755234	30120429	"Schlauch KA"
rs10945918-?	1E-6	-	NR	4.5587687	-	-	QKI,RN7SL366P	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	6:163756289	30120429	"Schlauch KA"
rs6902153-?	1E-6	-	NR	4.5587687	-	-	RN7SL366P,QKI	"Obesity without metabolic disease"	"metabolically healthy obesity"	-	GCST006492	6:163755424	30120429	"Schlauch KA"
rs17700144-A	6E-11	-	NR	1.22	-	[1.09-1.37]	RNU6-567P,RPS3AP49	"Obesity (early onset extreme)"	obesity	-	GCST000663	18:60144750	20421936	"Scherag A"
rs1558902-A	5E-19	-	NR	1.37	-	[1.26-1.50]	FTO	"Obesity (early onset extreme)"	obesity	-	GCST000663	16:53769662	20421936	"Scherag A"
rs12145833-T	5E-7	-	NR	1.19	-	[1.05-1.37]	SDCCAG8	"Obesity (early onset extreme)"	obesity	-	GCST000663	1:243320452	20421936	"Scherag A"
rs11127485-T	2E-7	-	NR	1.23	-	[1.08-1.41]	LINC01875,TMEM18	"Obesity (early onset extreme)"	obesity	-	GCST000663	2:632028	20421936	"Scherag A"
rs17150703-A	2E-8	-	NR	1.18	-	[1.03-1.35]	TNKS,MIR124-1HG	"Obesity (early onset extreme)"	obesity	-	GCST000663	8:9888288	20421936	"Scherag A"
